No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
2.61, 4.09126, 2.03647,-0.136896,7.90874, -2.03647,0.136896
2.62, 4.11163, 2.0351,-0.167443,7.88837, -2.0351,0.167443
2.63, 4.13198, 2.03342,-0.197969,7.86802, -2.03342,0.197969
2.64, 4.15231, 2.03144,-0.228471,7.84769, -2.03144,0.228471
2.65, 4.17263, 2.02916,-0.258942,7.82737, -2.02916,0.258942
2.66, 4.19292, 2.02657,-0.28938,7.80708, -2.02657,0.28938
2.67, 4.21319, 2.02368,-0.319778,7.78681, -2.02368,0.319778
2.68, 4.23342, 2.02048,-0.350133,7.76658, -2.02048,0.350133
2.69, 4.25363, 2.01698,-0.38044,7.74637, -2.01698,0.38044
2.7, 4.2738, 2.01317,-0.410695,7.7262, -2.01317,0.410695
2.71, 4.29393, 2.00907,-0.440893,7.70607, -2.00907,0.440893
2.72, 4.31402, 2.00466,-0.471029,7.68598, -2.00466,0.471029
2.73, 4.33407, 1.99995,-0.501098,7.66593, -1.99995,0.501098
2.74, 4.35407, 1.99494,-0.531097,7.64593, -1.99494,0.531097
2.75, 4.37401, 1.98962,-0.561022,7.62599, -1.98962,0.561022
2.76, 4.39391, 1.98401,-0.590866,7.60609, -1.98401,0.590866
2.77, 4.41375, 1.97811,-0.620626,7.58625, -1.97811,0.620626
2.78, 4.43353, 1.9719,-0.650298,7.56647, -1.9719,0.650298
2.79, 4.45325, 1.9654,-0.679876,7.54675, -1.9654,0.679876
2.8, 4.4729, 1.9586,-0.709357,7.5271, -1.9586,0.709357
2.81, 4.49249, 1.9515,-0.738736,7.50751, -1.9515,0.738736
2.82, 4.51201, 1.94412,-0.768009,7.48799, -1.94412,0.768009
2.83, 4.53145, 1.93644,-0.79717,7.46855, -1.93644,0.79717
2.84, 4.55081, 1.92847,-0.826217,7.44919, -1.92847,0.826217
2.85, 4.5701, 1.9202,-0.855144,7.4299, -1.9202,0.855144
2.86, 4.5893, 1.91165,-0.883947,7.4107, -1.91165,0.883947
2.87, 4.60841, 1.90281,-0.912622,7.39159, -1.90281,0.912622
2.88, 4.62744, 1.89369,-0.941164,7.37256, -1.89369,0.941164
2.89, 4.64638, 1.88427,-0.969569,7.35362, -1.88427,0.969569
2.9, 4.66522, 1.87458,-0.997833,7.33478, -1.87458,0.997833
2.91, 4.68397, 1.8646,-1.02595,7.31603, -1.8646,1.02595
2.92, 4.70261, 1.85434,-1.05392,7.29739, -1.85434,1.05392
2.93, 4.72116, 1.8438,-1.08174,7.27884, -1.8438,1.08174
2.94, 4.7396, 1.83298,-1.10939,7.2604, -1.83298,1.10939
2.95, 4.75793, 1.82189,-1.13689,7.24207, -1.82189,1.13689
2.96, 4.77614, 1.81052,-1.16422,7.22386, -1.81052,1.16422
2.97, 4.79425, 1.79888,-1.19137,7.20575, -1.79888,1.19137
2.98, 4.81224, 1.78697,-1.21836,7.18776, -1.78697,1.21836
2.99, 4.83011, 1.77478,-1.24516,7.16989, -1.77478,1.24516
3, 4.84786, 1.76233,-1.27178,7.15214, -1.76233,1.27178
3.01, 4.86548, 1.74961,-1.29822,7.13452, -1.74961,1.29822
3.02, 4.88298, 1.73663,-1.32446,7.11702, -1.73663,1.32446
3.03, 4.90034, 1.72339,-1.35051,7.09966, -1.72339,1.35051
3.04, 4.91758, 1.70988,-1.37636,7.08242, -1.70988,1.37636
3.05, 4.93467, 1.69612,-1.40201,7.06533, -1.69612,1.40201
3.06, 4.95164, 1.6821,-1.42745,7.04836, -1.6821,1.42745
3.07, 4.96846, 1.66782,-1.45268,7.03154, -1.66782,1.45268
3.08, 4.98513, 1.6533,-1.4777,7.01487, -1.6533,1.4777
3.09, 5.00167, 1.63852,-1.5025,6.99833, -1.63852,1.5025
3.1, 5.01805, 1.62349,-1.52708,6.98195, -1.62349,1.52708
3.11, 5.03429, 1.60822,-1.55143,6.96571, -1.60822,1.55143
3.12, 5.05037, 1.59271,-1.57555,6.94963, -1.59271,1.57555
3.13, 5.0663, 1.57695,-1.59945,6.9337, -1.57695,1.59945
3.14, 5.08207, 1.56096,-1.6231,6.91793, -1.56096,1.6231
3.15, 5.09768, 1.54473,-1.64651,6.90232, -1.54473,1.64651
3.16, 5.11312, 1.52826,-1.66969,6.88688, -1.52826,1.66969
3.17, 5.12841, 1.51157,-1.69261,6.87159, -1.51157,1.69261
3.18, 5.14352, 1.49464,-1.71528,6.85648, -1.49464,1.71528
3.19, 5.15847, 1.47749,-1.7377,6.84153, -1.47749,1.7377
3.2, 5.17324, 1.46011,-1.75986,6.82676, -1.46011,1.75986
