No iterations: 20000
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.032, 0.968142, -0.986596,0.838463,2.03186, 0.986596,-0.838462
0.0321, 0.968044, -0.986513,0.84106,2.03196, 0.986513,-0.84106
0.0322, 0.967945, -0.986429,0.843657,2.03206, 0.986429,-0.843657
0.0323, 0.967846, -0.986344,0.846252,2.03215, 0.986344,-0.846255
0.0324, 0.967748, -0.98626,0.848848,2.03225, 0.98626,-0.848847
0.0325, 0.967649, -0.986175,0.851445,2.03235, 0.986175,-0.851445
0.0326, 0.96755, -0.98609,0.854039,2.03245, 0.98609,-0.854042
0.0327, 0.967452, -0.986004,0.856635,2.03255, 0.986004,-0.856634
0.0328, 0.967353, -0.985918,0.859231,2.03265, 0.985918,-0.859232
0.0329, 0.967255, -0.985833,0.861824,2.03275, 0.985833,-0.861823
0.033, 0.967156, -0.985746,0.86442,2.03284, 0.985746,-0.864421
0.0331, 0.967057, -0.98566,0.867014,2.03294, 0.98566,-0.867013
0.0332, 0.966959, -0.985573,0.86961,2.03304, 0.985573,-0.869611
0.0333, 0.96686, -0.985486,0.872202,2.03314, 0.985486,-0.872202
0.0334, 0.966762, -0.985399,0.874794,2.03324, 0.985399,-0.874794
0.0335, 0.966663, -0.985312,0.877391,2.03334, 0.985312,-0.877391
0.0336, 0.966565, -0.985224,0.879983,2.03344, 0.985224,-0.879983
0.0337, 0.966466, -0.985136,0.882575,2.03353, 0.985136,-0.882575
0.0338, 0.966368, -0.985048,0.885167,2.03363, 0.985048,-0.885166
0.0339, 0.966269, -0.984959,0.887761,2.03373, 0.984959,-0.887764
0.034, 0.966171, -0.98487,0.890355,2.03383, 0.98487,-0.890355
0.0341, 0.966072, -0.984781,0.892946,2.03393, 0.984781,-0.892947
0.0342, 0.965974, -0.984692,0.895538,2.03403, 0.984692,-0.895539
0.0343, 0.965875, -0.984602,0.898129,2.03412, 0.984602,-0.89813
0.0344, 0.965777, -0.984513,0.900721,2.03422, 0.984513,-0.900722
0.0345, 0.965678, -0.984422,0.903312,2.03432, 0.984422,-0.903313
0.0346, 0.96558, -0.984332,0.905902,2.03442, 0.984332,-0.905905
