No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
2.22, 5.57217, -1.08807,-3.10825,6.65936, 0.927255,0.510963
2.23, 5.56129, -1.11915,-3.09193,6.66863, 0.932365,0.497054
2.24, 5.55009, -1.15007,-3.07514,6.67795, 0.937336,0.483069
2.25, 5.53859, -1.18082,-3.05789,6.68733, 0.942166,0.469008
2.26, 5.52679, -1.2114,-3.04018,6.69675, 0.946856,0.454876
2.27, 5.51467, -1.2418,-3.02201,6.70622, 0.951405,0.440673
2.28, 5.50225, -1.27202,-3.00338,6.71573, 0.955812,0.426402
2.29, 5.48953, -1.30205,-2.9843,6.72529, 0.960076,0.412065
2.3, 5.47651, -1.3319,-2.96477,6.73489, 0.964197,0.397664
2.31, 5.46319, -1.36155,-2.94479,6.74453, 0.968173,0.3832
2.32, 5.44958, -1.39099,-2.92437,6.75421, 0.972005,0.368678
2.33, 5.43567, -1.42024,-2.9035,6.76393, 0.975692,0.354098
2.34, 5.42147, -1.44927,-2.8822,6.77369, 0.979233,0.339463
2.35, 5.40697, -1.47809,-2.86046,6.78348, 0.982628,0.324774
2.36, 5.39219, -1.5067,-2.83829,6.79331, 0.985875,0.310035
2.37, 5.37713, -1.53508,-2.81569,6.80317, 0.988976,0.295247
2.38, 5.36177, -1.56324,-2.79266,6.81306, 0.991928,0.280412
2.39, 5.34614, -1.59117,-2.76921,6.82298, 0.994732,0.265533
2.4, 5.33023, -1.61886,-2.74535,6.83293, 0.997388,0.250612
2.41, 5.31404, -1.64631,-2.72106,6.8429, 0.999894,0.235651
2.42, 5.29758, -1.67352,-2.69637,6.8529, 1.00225,0.220653
2.43, 5.28084, -1.70048,-2.67127,6.86292, 1.00446,0.205619
2.44, 5.26384, -1.7272,-2.64576,6.87297, 1.00651,0.190552
2.45, 5.24657, -1.75366,-2.61985,6.88303, 1.00842,0.175454
2.46, 5.22903, -1.77985,-2.59355,6.89311, 1.01017,0.160328
2.47, 5.21123, -1.80579,-2.56685,6.90322, 1.01178,0.145175
2.48, 5.19317, -1.83146,-2.53976,6.91333, 1.01323,0.129999
2.49, 5.17486, -1.85686,-2.51229,6.92347, 1.01453,0.114801
2.5, 5.15629, -1.88198,-2.48444,6.93361, 1.01568,0.0995829
2.51, 5.13747, -1.90682,-2.45621,6.94377, 1.01667,0.0843472
2.52, 5.1184, -1.93138,-2.4276,6.95394, 1.01752,0.0690973
2.53, 5.09909, -1.95566,-2.39863,6.96411, 1.01821,0.0538344
2.54, 5.07953, -1.97965,-2.3693,6.97429, 1.01874,0.0385616
2.55, 5.05974, -2.00334,-2.3396,6.98448, 1.01913,0.0232801
2.56, 5.0397, -2.02674,-2.30955,6.99467, 1.01936,0.0079937
2.57, 5.01944, -2.04983,-2.27915,7.00486, 1.01944,-0.00729704
2.58, 4.99894, -2.07262,-2.24841,7.01506, 1.01937,-0.0225885
2.59, 4.97821, -2.09511,-2.21732,7.02525, 1.01914,-0.0378792
2.6, 4.95726, -2.11728,-2.18589,7.03544, 1.01877,-0.0531664
2.61, 4.93609, -2.13914,-2.15413,7.04563, 1.01823,-0.0684478
2.62, 4.9147, -2.16068,-2.12204,7.05581, 1.01755,-0.0837214
2.63, 4.89309, -2.1819,-2.08963,7.06599, 1.01671,-0.0989842
2.64, 4.87127, -2.2028,-2.0569,7.07616, 1.01572,-0.114235
2.65, 4.84924, -2.22337,-2.02386,7.08631, 1.01458,-0.129471
2.66, 4.82701, -2.2436,-1.99051,7.09646, 1.01329,-0.14469
2.67, 4.80457, -2.26351,-1.95686,7.10659, 1.01184,-0.159889
2.68, 4.78194, -2.28308,-1.92291,7.11671, 1.01024,-0.175067
2.69, 4.75911, -2.30231,-1.88866,7.12681, 1.00849,-0.19022
2.7, 4.73608, -2.32119,-1.85412,7.1369, 1.00659,-0.205348
2.71, 4.71287, -2.33974,-1.81931,7.14696, 1.00453,-0.220446
2.72, 4.68947, -2.35793,-1.78421,7.15701, 1.00233,-0.235514
2.73, 4.66589, -2.37577,-1.74884,7.16703, 0.999973,-0.250549
2.74, 4.64214, -2.39326,-1.7132,7.17703, 0.997468,-0.265549
2.75, 4.6182, -2.41039,-1.67731,7.18701, 0.994812,-0.280511
2.76, 4.5941, -2.42716,-1.64115,7.19696, 0.992007,-0.295433
2.77, 4.56983, -2.44358,-1.60474,7.20688, 0.989053,-0.310313
