No iterations: 900
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
3.07, 4.58245, -2.35486,-1.29894,11.5606, -3.21203,-5.4727
3.08, 4.5589, -2.36785,-1.27068,11.5285, -3.26676,-5.43415
3.09, 4.53522, -2.38056,-1.24227,11.4958, -3.3211,-5.39495
3.1, 4.51142, -2.39298,-1.2137,11.4626, -3.37505,-5.3551
3.11, 4.48749, -2.40512,-1.18499,11.4288, -3.4286,-5.3146
3.12, 4.46344, -2.41697,-1.15612,11.3945, -3.48175,-5.27345
3.13, 4.43927, -2.42853,-1.12712,11.3597, -3.53448,-5.23167
3.14, 4.41498, -2.4398,-1.09798,11.3244, -3.5868,-5.18926
3.15, 4.39058, -2.45078,-1.0687,11.2885, -3.63869,-5.14622
3.16, 4.36608, -2.46147,-1.03929,11.2521, -3.69016,-5.10255
3.17, 4.34146, -2.47186,-1.00975,11.2152, -3.74118,-5.05827
3.18, 4.31674, -2.48196,-0.980091,11.1778, -3.79176,-5.01338
3.19, 4.29192, -2.49176,-0.950307,11.1399, -3.8419,-4.96788
3.2, 4.26701, -2.50126,-0.920406,11.1015, -3.89158,-4.92177
3.21, 4.24199, -2.51047,-0.890391,11.0626, -3.94079,-4.87507
3.22, 4.21689, -2.51937,-0.860266,11.0232, -3.98955,-4.82779
3.23, 4.19169, -2.52797,-0.830033,10.9833, -4.03782,-4.77991
3.24, 4.16641, -2.53627,-0.799697,10.9429, -4.08562,-4.73146
3.25, 4.14105, -2.54427,-0.769262,10.902, -4.13294,-4.68243
3.26, 4.11561, -2.55196,-0.738731,10.8607, -4.17976,-4.63283
3.27, 4.09009, -2.55935,-0.708107,10.8189, -4.22609,-4.58268
3.28, 4.0645, -2.56643,-0.677395,10.7766, -4.27192,-4.53196
3.29, 4.03883, -2.5732,-0.646598,10.7339, -4.31724,-4.4807
3.3, 4.0131, -2.57967,-0.61572,10.6907, -4.36204,-4.42889
3.31, 3.9873, -2.58583,-0.584763,10.6471, -4.40633,-4.37655
3.32, 3.96144, -2.59168,-0.553734,10.6031, -4.4501,-4.32367
3.33, 3.93553, -2.59721,-0.522633,10.5586, -4.49333,-4.27027
3.34, 3.90956, -2.60244,-0.491467,10.5136, -4.53604,-4.21635
3.35, 3.88353, -2.60735,-0.460238,10.4683, -4.5782,-4.16192
3.36, 3.85746, -2.61196,-0.428949,10.4225, -4.61982,-4.10698
3.37, 3.83134, -2.61625,-0.397606,10.3763, -4.66089,-4.05154
3.38, 3.80518, -2.62022,-0.366211,10.3297, -4.7014,-3.99561
3.39, 3.77897, -2.62388,-0.334768,10.2827, -4.74136,-3.9392
3.4, 3.75273, -2.62723,-0.303282,10.2352, -4.78075,-3.8823
3.41, 3.72646, -2.63026,-0.271755,10.1874, -4.81958,-3.82493
3.42, 3.70016, -2.63298,-0.240192,10.1392, -4.85782,-3.7671
3.43, 3.67383, -2.63538,-0.208596,10.0907, -4.8955,-3.7088
3.44, 3.64748, -2.63747,-0.176971,10.0417, -4.93258,-3.65006
3.45, 3.6211, -2.63924,-0.145322,9.99239, -4.96908,-3.59086
3.46, 3.59471, -2.64069,-0.113651,9.9427, -5.00499,-3.53124
3.47, 3.5683, -2.64183,-0.0819623,9.89265, -5.04031,-3.47118
3.48, 3.54188, -2.64265,-0.0502604,9.84224, -5.07502,-3.41069
3.49, 3.51546, -2.64315,-0.0185486,9.79149, -5.10912,-3.34979
3.5, 3.48903, -2.64334,0.0131693,9.7404, -5.14262,-3.28848
3.51, 3.46259, -2.64321,0.0448892,9.68898, -5.17551,-3.22677
