No iterations: 20000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.0231, 0.97698, -0.989531,0.908794,2.02302, 0.989531,-0.908794
0.0232, 0.976881, -0.98944,0.9127,2.02312, 0.98944,-0.9127
0.0233, 0.976782, -0.989348,0.916607,2.02322, 0.989348,-0.916607
0.0234, 0.976683, -0.989257,0.920513,2.02332, 0.989257,-0.920513
0.0235, 0.976584, -0.989165,0.924419,2.02342, 0.989165,-0.924419
0.0236, 0.976485, -0.989072,0.928324,2.02351, 0.989072,-0.928325
0.0237, 0.976386, -0.988979,0.93223,2.02361, 0.988979,-0.932231
0.0238, 0.976287, -0.988886,0.936131,2.02371, 0.988886,-0.936129
0.0239, 0.976189, -0.988793,0.940035,2.02381, 0.988793,-0.940034
0.024, 0.97609, -0.988699,0.94394,2.02391, 0.988699,-0.94394
0.0241, 0.975991, -0.988604,0.947846,2.02401, 0.988604,-0.947846
0.0242, 0.975892, -0.988509,0.951744,2.02411, 0.988509,-0.951743
0.0243, 0.975793, -0.988414,0.955649,2.02421, 0.988414,-0.955649
0.0244, 0.975694, -0.988319,0.959549,2.02431, 0.988319,-0.959548
0.0245, 0.975595, -0.988223,0.963452,2.0244, 0.988223,-0.963452
0.0246, 0.975497, -0.988126,0.967355,2.0245, 0.988126,-0.967357
0.0247, 0.975398, -0.98803,0.971255,2.0246, 0.98803,-0.971255
0.0248, 0.975299, -0.987933,0.975152,2.0247, 0.987933,-0.975152
0.0249, 0.9752, -0.987835,0.979057,2.0248, 0.987835,-0.979058
0.025, 0.975101, -0.987737,0.982955,2.0249, 0.987737,-0.982955
0.0251, 0.975003, -0.987639,0.986852,2.025, 0.987639,-0.986851
0.0252, 0.974904, -0.98754,0.990754,2.0251, 0.98754,-0.990756
0.0253, 0.974805, -0.987441,0.994653,2.02519, 0.987441,-0.994654
0.0254, 0.974706, -0.987342,0.998551,2.02529, 0.987342,-0.998551
0.0255, 0.974608, -0.987242,1.00245,2.02539, 0.987242,-1.00245
0.0256, 0.974509, -0.987141,1.00635,2.02549, 0.987141,-1.00634
0.0257, 0.97441, -0.987041,1.01024,2.02559, 0.987041,-1.01024
0.0258, 0.974312, -0.98694,1.01414,2.02569, 0.98694,-1.01414
0.0259, 0.974213, -0.986838,1.01804,2.02579, 0.986838,-1.01803
0.026, 0.974114, -0.986737,1.02193,2.02589, 0.986737,-1.02193
0.0261, 0.974015, -0.986634,1.02583,2.02598, 0.986634,-1.02583
0.0262, 0.973917, -0.986532,1.02972,2.02608, 0.986532,-1.02972
0.0263, 0.973818, -0.986429,1.03362,2.02618, 0.986429,-1.03362
0.0264, 0.97372, -0.986325,1.03751,2.02628, 0.986325,-1.03751
0.0265, 0.973621, -0.986222,1.04141,2.02638, 0.986222,-1.04141
0.0266, 0.973522, -0.986118,1.0453,2.02648, 0.986118,-1.0453
0.0267, 0.973424, -0.986013,1.04919,2.02658, 0.986013,-1.04919
0.0268, 0.973325, -0.985908,1.05309,2.02667, 0.985908,-1.05309
0.0269, 0.973226, -0.985803,1.05697,2.02677, 0.985803,-1.05697
0.027, 0.973128, -0.985697,1.06087,2.02687, 0.985697,-1.06087
0.0271, 0.973029, -0.985591,1.06476,2.02697, 0.985591,-1.06476
0.0272, 0.972931, -0.985485,1.06865,2.02707, 0.985485,-1.06865
0.0273, 0.972832, -0.985378,1.07254,2.02717, 0.985378,-1.07254
0.0274, 0.972734, -0.98527,1.07643,2.02727, 0.98527,-1.07643
